name,latitude,longitude
фонвизинская,55.822893,37.587353
фрунзенская,55.727328,37.580481
хлебниково,55.970897,37.504591
ховрино,55.879859,37.485807
хорошево,55.776922,37.507502
хорошёво,55.776922,37.507502
хорошёвская,55.776867,37.520797
царицыно,55.621607,37.669154
цветной бульвар,55.771758,37.620734
цска,55.786597,37.533283
черкизовская,55.803676,37.744927
чертановская,55.640609,37.606325
чеховская,55.911689,36.797393
чистые пруды,55.764794,37.638692
чкаловская,55.897175,38.063128
шаболовская,55.718821,37.607933
шелепиха,55.756791,37.526043
шипиловская,55.621165,37.743696
шоссе энтузиастов,55.759,37.746265
щелковская,55.809717,37.798592
щербинка,55.51016,37.5622
щукинская,55.811199,37.460385
щёлковская,55.809717,37.798592
электрозаводская,55.781079,37.705481
юго-восточная,55.705351,37.817995
юго-западная,55.663634,37.483095
южная,55.825629,37.634488
ясенево,55.606207,37.533454
яхромская,55.879904,37.545429
